GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E
1400000U,6037111304,Census Tract 1113.04; Los Angeles County; California,364,360,57,563,0,1031,707
1400000U,6037111401,Census Tract 1114.01; Los Angeles County; California,1033,33,14,403,0,312,398
1400000U,6037111402,Census Tract 1114.02; Los Angeles County; California,3376,18,23,920,0,1130,531
1400000U,6037113101,Census Tract 1131.01; Los Angeles County; California,2368,120,0,541,0,246,265
1400000U,6037113102,Census Tract 1131.02; Los Angeles County; California,1592,58,0,541,0,173,616
1400000U,6037113211,Census Tract 1132.11; Los Angeles County; California,2086,516,5,738,0,459,334
1400000U,6037113212,Census Tract 1132.12; Los Angeles County; California,1189,103,34,805,0,303,438
1400000U,6037113213,Census Tract 1132.13; Los Angeles County; California,2140,148,5,1018,0,873,884
1400000U,6037113231,Census Tract 1132.31; Los Angeles County; California,1427,91,0,164,0,157,394
1400000U,6037113232,Census Tract 1132.32; Los Angeles County; California,2711,241,0,803,0,322,700
1400000U,6037113234,Census Tract 1132.34; Los Angeles County; California,1404,380,255,787,0,2069,745
1400000U,6037113235,Census Tract 1132.35; Los Angeles County; California,862,55,10,51,0,374,338
1400000U,6037113237,Census Tract 1132.37; Los Angeles County; California,2089,463,23,1192,0,386,612
1400000U,6037113238,Census Tract 1132.38; Los Angeles County; California,1289,173,0,701,0,1723,710
1400000U,6037113239,Census Tract 1132.39; Los Angeles County; California,617,110,20,265,12,979,131
1400000U,6037113301,Census Tract 1133.01; Los Angeles County; California,2504,69,33,1190,9,196,254
1400000U,6037113303,Census Tract 1133.03; Los Angeles County; California,1396,164,53,882,0,568,736
1400000U,6037113322,Census Tract 1133.22; Los Angeles County; California,2573,626,12,619,0,397,534
1400000U,6037113323,Census Tract 1133.23; Los Angeles County; California,1339,112,11,732,0,1098,612
1400000U,6037113324,Census Tract 1133.24; Los Angeles County; California,1119,284,0,337,0,170,927
1400000U,6037113423,Census Tract 1134.23; Los Angeles County; California,1042,68,29,224,0,960,522
1400000U,6037113424,Census Tract 1134.24; Los Angeles County; California,1126,100,0,469,0,1079,359
